datetime,Average Tone,entity
2017-04-29 00:00:00+00:00,-2.7736,Putin
2017-04-30 00:00:00+00:00,-1.4746,Putin
2017-05-01 00:00:00+00:00,-1.9361,Putin
2017-05-02 00:00:00+00:00,-2.2667,Putin
2017-05-03 00:00:00+00:00,-1.8996,Putin
2017-05-04 00:00:00+00:00,-2.0209,Putin
2017-05-05 00:00:00+00:00,-1.6551,Putin
2017-05-06 00:00:00+00:00,-2.699,Putin
2017-05-07 00:00:00+00:00,-1.7033,Putin
2017-05-08 00:00:00+00:00,-1.15,Putin
2017-05-09 00:00:00+00:00,-1.3821,Putin
2017-05-10 00:00:00+00:00,-2.1955,Putin
2017-05-11 00:00:00+00:00,-1.8306,Putin
2017-05-12 00:00:00+00:00,-1.7159,Putin
2017-05-13 00:00:00+00:00,-1.9652,Putin
2017-05-14 00:00:00+00:00,-1.041,Putin
2017-05-15 00:00:00+00:00,-1.7669,Putin
2017-05-16 00:00:00+00:00,-2.0927,Putin
2017-05-17 00:00:00+00:00,-2.0004,Putin
2017-05-18 00:00:00+00:00,-1.9369,Putin
2017-05-19 00:00:00+00:00,-1.9368,Putin
2017-05-20 00:00:00+00:00,-0.7539,Putin
2017-05-21 00:00:00+00:00,-0.8628,Putin
2017-05-22 00:00:00+00:00,-1.6074,Putin
2017-05-23 00:00:00+00:00,-3.0849,Putin
2017-05-24 00:00:00+00:00,-2.28,Putin
2017-05-25 00:00:00+00:00,-1.446,Putin
2017-05-26 00:00:00+00:00,-1.7481,Putin
2017-05-27 00:00:00+00:00,-1.0849,Putin
2017-05-28 00:00:00+00:00,-1.1559,Putin
2017-05-29 00:00:00+00:00,-1.7737,Putin
2017-05-30 00:00:00+00:00,-1.9096,Putin
2017-05-31 00:00:00+00:00,-1.8992,Putin
2017-06-01 00:00:00+00:00,-1.6036,Putin
2017-06-02 00:00:00+00:00,-1.6277,Putin
2017-06-03 00:00:00+00:00,-1.684,Putin
2017-06-04 00:00:00+00:00,-3.855,Putin
2017-06-05 00:00:00+00:00,-2.4698,Putin
2017-06-06 00:00:00+00:00,-2.1487,Putin
2017-06-07 00:00:00+00:00,-3.1323,Putin
2017-06-08 00:00:00+00:00,-2.2449,Putin
2017-06-09 00:00:00+00:00,-1.6335,Putin
2017-06-10 00:00:00+00:00,-1.3831,Putin
2017-06-11 00:00:00+00:00,-1.4263,Putin
2017-06-12 00:00:00+00:00,-3.2196,Putin
2017-06-13 00:00:00+00:00,-3.0101,Putin
2017-06-14 00:00:00+00:00,-2.0226,Putin
2017-06-15 00:00:00+00:00,-2.0392,Putin
2017-06-16 00:00:00+00:00,-2.09,Putin
2017-06-17 00:00:00+00:00,-2.3563,Putin
2017-06-18 00:00:00+00:00,-1.7093,Putin
2017-06-19 00:00:00+00:00,-2.112,Putin
2017-06-20 00:00:00+00:00,-2.0016,Putin
2017-06-21 00:00:00+00:00,-2.0053,Putin
2017-06-22 00:00:00+00:00,-2.0562,Putin
2017-06-23 00:00:00+00:00,-2.1814,Putin
2017-06-24 00:00:00+00:00,-2.0021,Putin
2017-06-25 00:00:00+00:00,-2.2462,Putin
2017-06-26 00:00:00+00:00,-1.7425,Putin
2017-06-27 00:00:00+00:00,-3.0931,Putin
2017-06-28 00:00:00+00:00,-2.7616,Putin
2017-06-29 00:00:00+00:00,-2.7586,Putin
2017-06-30 00:00:00+00:00,-2.3461,Putin
2017-07-01 00:00:00+00:00,-2.4448,Putin
2017-07-02 00:00:00+00:00,-2.1122,Putin
2017-07-03 00:00:00+00:00,-1.6149,Putin
2017-07-04 00:00:00+00:00,-1.2404,Putin
2017-07-05 00:00:00+00:00,-1.6617,Putin
2017-07-06 00:00:00+00:00,-2.0032,Putin
2017-07-07 00:00:00+00:00,-2.1959,Putin
2017-07-08 00:00:00+00:00,-1.6423,Putin
2017-07-09 00:00:00+00:00,-1.7456,Putin
2017-07-10 00:00:00+00:00,-1.4307,Putin
2017-07-11 00:00:00+00:00,-1.5847,Putin
2017-07-12 00:00:00+00:00,-1.7306,Putin
2017-07-13 00:00:00+00:00,-2.0737,Putin
2017-07-14 00:00:00+00:00,-1.5068,Putin
2017-07-15 00:00:00+00:00,-1.8666,Putin
2017-07-16 00:00:00+00:00,-1.6033,Putin
2017-07-17 00:00:00+00:00,-1.9969,Putin
2017-07-18 00:00:00+00:00,-2.0078,Putin
2017-07-19 00:00:00+00:00,-1.7295,Putin
2017-07-20 00:00:00+00:00,-2.0438,Putin
2017-07-21 00:00:00+00:00,-1.7658,Putin
2017-07-22 00:00:00+00:00,-1.7629,Putin
2017-07-23 00:00:00+00:00,-2.4255,Putin
2017-07-24 00:00:00+00:00,-1.9407,Putin
2017-07-25 00:00:00+00:00,-2.3425,Putin
2017-07-26 00:00:00+00:00,-2.9162,Putin
2017-07-27 00:00:00+00:00,-2.4069,Putin
2017-07-28 00:00:00+00:00,-3.4036,Putin
2017-07-29 00:00:00+00:00,-2.9419,Putin
2017-07-30 00:00:00+00:00,-2.2759,Putin
2017-07-31 00:00:00+00:00,-2.4974,Putin
2017-08-01 00:00:00+00:00,-2.4859,Putin
2017-08-02 00:00:00+00:00,-3.2142,Putin
2017-08-03 00:00:00+00:00,-3.1753,Putin
2017-08-04 00:00:00+00:00,-2.5862,Putin
2017-08-05 00:00:00+00:00,-1.6084,Putin
2017-08-06 00:00:00+00:00,-1.7492,Putin
2017-08-07 00:00:00+00:00,-2.4148,Putin
2017-08-08 00:00:00+00:00,-2.2392,Putin
2017-08-09 00:00:00+00:00,-2.0431,Putin
2017-08-10 00:00:00+00:00,-2.336,Putin
2017-08-11 00:00:00+00:00,-1.8074,Putin
2017-08-12 00:00:00+00:00,-1.7834,Putin
2017-08-13 00:00:00+00:00,-1.8975,Putin
2017-08-14 00:00:00+00:00,-2.0693,Putin
2017-08-15 00:00:00+00:00,-1.9414,Putin
2017-08-16 00:00:00+00:00,-2.2367,Putin
2017-08-17 00:00:00+00:00,-2.1386,Putin
2017-08-18 00:00:00+00:00,-2.8871,Putin
2017-08-19 00:00:00+00:00,-2.2934,Putin
2017-08-20 00:00:00+00:00,-1.8648,Putin
2017-08-21 00:00:00+00:00,-1.72,Putin
2017-08-22 00:00:00+00:00,-1.9783,Putin
2017-08-23 00:00:00+00:00,-1.8602,Putin
2017-08-24 00:00:00+00:00,-2.0288,Putin
2017-08-25 00:00:00+00:00,-1.6758,Putin
2017-08-26 00:00:00+00:00,-2.079,Putin
2017-08-27 00:00:00+00:00,-1.4551,Putin
2017-08-28 00:00:00+00:00,-1.3405,Putin
2017-08-29 00:00:00+00:00,-1.6548,Putin
2017-08-30 00:00:00+00:00,-1.6185,Putin
2017-08-31 00:00:00+00:00,-1.8676,Putin
2017-09-01 00:00:00+00:00,-2.2524,Putin
2017-09-02 00:00:00+00:00,-2.1238,Putin
2017-09-03 00:00:00+00:00,-1.7242,Putin
2017-09-04 00:00:00+00:00,-1.584,Putin
2017-09-05 00:00:00+00:00,-2.1596,Putin
2017-09-06 00:00:00+00:00,-2.194,Putin
2017-09-07 00:00:00+00:00,-1.7731,Putin
2017-09-08 00:00:00+00:00,-1.6224,Putin
2017-09-09 00:00:00+00:00,-1.5063,Putin
2017-09-10 00:00:00+00:00,-1.7948,Putin
2017-09-11 00:00:00+00:00,-1.8036,Putin
2017-09-12 00:00:00+00:00,-1.7667,Putin
2017-09-13 00:00:00+00:00,-2.1085,Putin
2017-09-14 00:00:00+00:00,-2.3235,Putin
2017-09-15 00:00:00+00:00,-2.1236,Putin
2017-09-16 00:00:00+00:00,-1.3968,Putin
2017-09-17 00:00:00+00:00,-1.3946,Putin
2017-09-18 00:00:00+00:00,-1.7772,Putin
2017-09-19 00:00:00+00:00,-2.0427,Putin
2017-09-20 00:00:00+00:00,-2.0999,Putin
2017-09-21 00:00:00+00:00,-1.3905,Putin
2017-09-22 00:00:00+00:00,-2.4288,Putin
2017-09-23 00:00:00+00:00,-2.2985,Putin
2017-09-24 00:00:00+00:00,-1.5482,Putin
2017-09-25 00:00:00+00:00,-1.74,Putin
2017-09-26 00:00:00+00:00,-2.0011,Putin
2017-09-27 00:00:00+00:00,-2.4741,Putin
2017-09-28 00:00:00+00:00,-2.0299,Putin
2017-09-29 00:00:00+00:00,-2.2652,Putin
2017-09-30 00:00:00+00:00,-2.0111,Putin
2017-10-01 00:00:00+00:00,-1.4522,Putin
2017-10-02 00:00:00+00:00,-2.5665,Putin
